accuracy,precision_macro,recall_macro_sensitivity,f1_macro,specificity_macro,fpr_macro,iou_macro,ppv_macro
0.5174442190669372,0.5997188256139699,0.5114098129524922,0.5369932583253652,0.9857234567465543,0.014276543253445701,0.406454255712586,0.5997188256139699
0.5217038539553752,0.574752063193664,0.5050612150155335,0.5272616480261705,0.9858370723442945,0.014162927655705388,0.39610613121225435,0.574752063193664
0.5268762677484787,0.5914975258223649,0.5218057020488696,0.5471610355474879,0.9859718632662661,0.014028136733733954,0.4123394645090931,0.5914975258223649
0.5245436105476673,0.6096185128672672,0.5136439639658787,0.5397825850017602,0.9858903614971897,0.014109638502810301,0.4075877585738675,0.6096185128672672
0.5208924949290061,0.5888459980841573,0.5027915154593522,0.526279729589061,0.985743046174105,0.014256953825895069,0.3868837384966238,0.5888459980841573
0.5129817444219067,0.6054824302548454,0.513475964416113,0.5394970568266174,0.9855277786256039,0.014472221374396022,0.40267798807512667,0.6054824302548454
0.5235294117647059,0.6171251606444906,0.530940720601718,0.5553501179770738,0.985857645077375,0.014142354922625177,0.42517919022543793,0.6171251606444906
0.5251521298174442,0.5931288616493781,0.5177109909985681,0.5410606015022728,0.9858678582070777,0.014132141792922331,0.40989746305031094,0.5931288616493781
0.5191683569979716,0.5903053659780028,0.5090719025149156,0.5310091888121422,0.9856628198835141,0.014337180116485871,0.38982414964572937,0.5903053659780028
0.522210953346856,0.6217892514543879,0.5114009547733842,0.539382428310213,0.9858610459292192,0.014138954070780812,0.4069906008233536,0.6217892514543879
0.5199797160243408,0.6031094678598126,0.5188857996620557,0.5452020129570325,0.9858430572440937,0.014156942755906293,0.3973039141373361,0.6031094678598126
0.5178498985801218,0.5971629976959267,0.498076924374233,0.52835564157879,0.9857042155957096,0.014295784404290463,0.3906522910318458,0.5971629976959267
0.5176470588235295,0.6068075066308722,0.508781029810476,0.5361246337703817,0.9856719813930959,0.014328018606904086,0.400083887989031,0.6068075066308722
0.5268762677484787,0.6095843809646453,0.5137221712427122,0.543980687523792,0.9859558292876273,0.014044170712372697,0.40697147832590197,0.6095843809646453
0.5126774847870182,0.6030204323364853,0.5044733131290231,0.5320984096891246,0.9856353358944048,0.014364664105595195,0.39633351256866567,0.6030204323364853
0.5116632860040567,0.6175105805027848,0.4928290709677155,0.5253158094552673,0.985599280415347,0.014400719584652954,0.3898364130078459,0.6175105805027848
0.5274847870182556,0.6189152991361037,0.5176512813491625,0.5455244839922737,0.986027220714675,0.013972779285324855,0.411383282006679,0.6189152991361037
0.5210953346855984,0.6062990679628975,0.4980051305115486,0.5301640161160817,0.9859019978465433,0.014098002153456685,0.3953278116619362,0.6062990679628975
0.5209939148073023,0.5990590249932077,0.5403905836912839,0.5581848948055967,0.9857769989084157,0.014223001091584059,0.42807538236558446,0.5990590249932077
0.5101419878296146,0.6055372734911854,0.5496304176227547,0.5696650776831269,0.9854285424200327,0.014571457579967338,0.4385445796137226,0.6055372734911854
0.5137931034482759,0.5566300352481177,0.5070570419561882,0.5246860085929949,0.9854743881047545,0.014525611895245594,0.40027086168438986,0.5566300352481177
0.5086206896551724,0.5483165809948354,0.46773760119860963,0.4898419538162118,0.9854293334231443,0.01457066657685569,0.3614019513706782,0.5483165809948354
0.5185598377281947,0.5818626786287802,0.5107602462348124,0.5310508231175293,0.9856298591741762,0.014370140825823954,0.4042005939153778,0.5818626786287802
0.5132860040567951,0.5887839237509603,0.49816569882157097,0.5230187145186033,0.9855002208985695,0.014499779101430582,0.3772175111241344,0.5887839237509603
0.515314401622718,0.5826360358642467,0.48458826415457423,0.5125483105839804,0.9856645146065942,0.014335485393405853,0.37991263547877246,0.5826360358642467
0.5252535496957403,0.580694035623975,0.5209893711712773,0.5373899725834318,0.9859335277958522,0.014066472204147685,0.4089251177966471,0.580694035623975
0.522920892494929,0.6097253951103316,0.4714634830186596,0.5106339487381811,0.9858594679406092,0.014140532059390809,0.3708381624306095,0.6097253951103316
0.5196754563894523,0.551382869918181,0.47081547629921044,0.4900684589814698,0.9857146102806983,0.014285389719301706,0.361758257126957,0.551382869918181
